RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
1,Jr,7-0,Jack Nunge (22),Xavier,Iowa,65.4,4.6,9.5,127,21.6,60.5,63.3,10.5,21.2,8.8,9,5.6,1.6,53.4,132-209,0.632,5.8,35-96,0.365,2022
2,Sr,6-10,Kerem Kanter (18),Xavier,Green Bay,40.5,2.9,8.3,124.2,25.3,61.8,64.8,9.5,21.7,6.5,11,1.9,1,37.6,129-199,0.648,4.9,17-51,0.333,2018
3,Jr,5-10,Andrew Rowsey (17),Marquette,UNC Asheville,51.9,3.7,7.3,126.7,23.2,61.5,67.4,1.1,9.1,19.7,15.3,0.2,1.8,41.3,35-71,0.493,13.4,71-159,0.447,2017
4,Sr,6-10,Kur Kuath (22),Marquette,Oklahoma,47.4,2.1,6.7,125.8,12.1,71.3,69.9,6.8,15.1,5.8,15.2,13.4,1.3,25.2,82-115,0.713,0,0-0,0,2022
5,Sr,6-5,Rodney Pryor (17),Georgetown,Robert Morris,80.9,3.9,6.3,112.1,23.6,57.5,59.3,3.9,13,9.3,12.7,2.1,1.4,21.3,128-238,0.538,11.1,84-204,0.412,2017
6,Sr,6-2,Avery Woodson (17),Butler,Memphis,55.7,2.8,5.7,123,16.1,59,60.1,1.4,12.9,5.7,5.3,1.4,0.8,10.9,28-60,0.467,14,75-178,0.421,2017
7,Jr,6-1,R.J. Cole (21),UConn,Howard,77.3,4,5.4,112.2,22.1,46.8,51.3,2.5,8.5,26.5,15.3,0,2.3,31.1,53-137,0.387,8.5,39-101,0.386,2021
8,Jr,6-6,Tyrese Martin (21),UConn,Rhode Island,71.7,3.1,5.2,109.3,19,48.2,51.1,11,17.2,6.6,14.3,2,2,31.6,69-143,0.483,4.5,16-50,0.32,2021
9,Jr,6-2,Paul Jorgensen (18),Butler,George Washington,67.2,2.8,5.2,114.4,18.7,51.5,54,2,12.1,15.6,10.3,0.2,2.2,16,68-135,0.504,10.3,60-172,0.349,2018
10,So,6-5,Justin Simon (18),St. John's,Arizona,88.6,2.5,5.1,100.5,21.6,49.5,52.8,3.4,18.2,26.6,20.7,2.7,3.9,39.8,133-278,0.478,1.8,15-36,0.417,2018
11,Jr,6-9,Aaron Wheeler (22),St. John's,Purdue,52.9,2.2,4.9,110.1,19.7,56.8,57.9,4.2,18.3,11.4,14.8,4.7,1.3,22.2,75-134,0.56,8.6,42-109,0.385,2022
12,Jr,6-7,Bryce Nze (20),Butler,Milwaukee,71.6,2.8,4.8,110,18.7,63.4,63.3,10.8,16.9,9.7,23.7,2.7,1.9,34.5,120-189,0.635,0.4,2-5,0.4,2020
13,Sr,5-11,Luwane Pipkins (20),Providence,Massachusetts,66,2.4,4.7,104.6,21.5,47.5,53.3,1.6,10.9,21.8,19.6,0.3,2.7,29.7,41-93,0.441,12.7,60-183,0.328,2020
14,Sr,7-0,Omer Yurtseven (20),Georgetown,North Carolina St.,55.2,3.8,4.7,109.3,27.6,53.9,57,15.4,24.2,10.4,16.9,6.1,0.9,30.1,162-295,0.549,1.1,3-14,0.214,2020
15,Jr,6-7,Emmitt Holt (17),Providence,Indiana,66.3,3,4.5,110.6,22.2,56,58.5,7.4,15.6,8.3,13.6,3.1,1.5,42.5,128-224,0.571,4.1,21-61,0.344,2017
16,Sr,6-11,Marin Maric (18),DePaul,Northern Illinois,61.1,3,4.2,110.5,23,57.4,63,8,19.7,9.4,21.7,2.1,1.5,45.8,128-219,0.584,2.2,10-30,0.333,2018
17,Sr,6-3,Kethan Savage (17),Butler,George Washington,44.7,1.9,4.1,105.3,21.5,48.3,54.5,1.1,15.3,14,15.4,1.2,2.6,54.6,63-126,0.5,4.7,14-48,0.292,2017
18,Jr,6-4,Javon Freeman-Liberty (21),DePaul,Valparaiso,58.1,2.7,4,97.4,26.1,46.1,49.8,6.7,11.1,18.2,19,0.5,2.7,28.1,64-137,0.467,5.2,12-41,0.293,2021
19,Sr,6-5,Donald Carey (21),Georgetown,Siena,66.8,2,3.9,109,14.9,60,63,3.4,8.5,12.2,25.7,0,2.1,21.3,30-61,0.492,7.3,40-89,0.449,2021
20,Jr,6-6,Isaiah Jackson (17),Providence,George Mason,41.7,1.1,3.8,104.4,18.2,55.3,58.8,2.6,14.5,15.1,21.1,1.8,1.9,38.3,45-86,0.523,5,19-47,0.404,2017
21,Sr,6-7,Chudier Bile (21),Georgetown,Northwestern St.,56,2,3.8,99.4,23.6,50,53.6,8.8,14.1,7.5,21,3.9,2.5,40.2,44-105,0.419,9.1,37-94,0.394,2021
22,Sr,6-10,Ryan Welage (19),Xavier,San Jose St.,46.2,2.1,3.7,125.2,14.3,60.9,61.7,2.4,9,6.7,8.9,1.1,0.5,8.2,22-41,0.537,13,60-143,0.42,2019
23,Sr,6-7,Justin Minaya (22),Providence,South Carolina,79,1.5,3.6,106.2,12.4,50.6,51.4,7.1,11.6,9.1,17.5,2.6,1.5,23.8,42-77,0.545,5.9,33-104,0.317,2022
24,Sr,6-4,Nate Johnson (21),Xavier,Gardner Webb,58.4,2.6,3.5,112.7,16.5,57.9,59.9,2.8,11.6,9.5,14,0.2,2.2,17.9,18-47,0.383,10.8,42-93,0.452,2021
25,Sr,6-9,RaShid Gaston (17),Xavier,Norfolk St.,45.2,2.1,3.4,113.2,20.8,59,58.8,15.8,22.5,7,16.7,3.2,0.5,46.7,115-195,0.59,0,0-0,0,2017
26,So,6-2,D.J. Carton (21),Marquette,Ohio St.,77.5,2.6,3.3,98.5,24.9,50.7,54.9,2.2,12.2,23.8,23.9,1.4,2.2,37.3,88-154,0.571,8.1,33-117,0.282,2021
27,Sr,6-6,Malcolm Bernard (17),Xavier,Florida A&M,69.8,1.2,3,102.9,13.6,53.2,54.4,5.2,11.9,9.6,22.6,1.3,2.1,30.3,38-84,0.452,6.4,46-117,0.393,2017
28,So,6-6,Kadary Richmond (22),Seton Hall,Syracuse,64.3,1.6,2.9,94.3,24.2,43.2,47.4,2.8,12.5,31.5,24,1.4,3.7,28,84-203,0.414,3.9,18-54,0.333,2022
29,Sr,6-9,Femi Olujobi (19),DePaul,North Carolina A&T,65.2,3.2,2.9,117.6,21.4,62.7,65.2,8.8,15.2,7.1,18.2,1.4,1.2,63.5,149-238,0.626,1.9,14-33,0.424,2019
30,Jr,6-11,Joel Soriano (22),St. John's,Fordham,44,1.8,2.8,115.6,16.1,56.9,59.8,10,20.7,9.5,17.1,9.8,0.3,35,78-137,0.569,0,0-0,0,2022
31,Sr,6-8,Alexis Yetna (22),Seton Hall,South Florida,58.8,2,2.7,104.8,19.8,44.4,49.4,11.6,22.7,6.3,14.9,1.3,1.4,35.5,68-136,0.5,6.2,18-78,0.231,2022
32,Sr,6-6,Katin Reinhardt (17),Marquette,USC,58.3,2.8,2.6,110.6,20.8,51.4,55.2,3.5,9,14.1,14.1,0.4,1.4,20.9,47-106,0.443,11.4,57-152,0.375,2017
33,Sr,6-8,Noah Horchler (21),Providence,North Florida,52.2,1.5,2.5,104.1,17.9,48.7,51.1,9.9,20.2,5,14.3,2.3,1.2,23.4,36-92,0.391,6.6,26-62,0.419,2021
34,Jr,6-7,Marvin Clark II (18),St. John's,Michigan St.,76.9,2.6,2.3,107.3,19.2,56.2,59.5,4.3,12.7,6.1,17,0.6,2.1,23.6,74-150,0.493,8.7,65-155,0.419,2018
35,Jr,5-11,Charlie Moore (20),DePaul,Kansas,88.8,3,2.2,97.6,26.5,43.4,48.8,1.4,8.8,34.5,20.8,0.2,2.4,31.9,106-262,0.405,8.3,53-165,0.321,2020
36,So,6-7,Eric Paschall (17),Villanova,Fordham,54.2,1.9,2.1,109.7,18.1,56.2,58.3,8.6,12.8,5.2,18.5,2.7,1.5,30.3,81-127,0.638,5.3,19-68,0.279,2017
37,Jr,6-8,Jason Carter (20),Xavier,Ohio,72,0.7,2,95.3,14.9,44.8,48.2,6.5,11.9,8.7,21,2.5,1.4,27.1,61-140,0.436,3.9,20-63,0.317,2020
38,So,6-11,Tariq Owens (17),St. John's,Tennessee,45.5,1.1,2,107.6,15,50.4,54.7,10.5,19.4,4.6,17.4,11.7,1.7,37.2,65-127,0.512,0.2,0-2,0,2017
39,Sr,6-5,Darryl Morsell (22),Marquette,Maryland,71.6,2.3,1.8,97.7,24.4,51,54.7,2,10.6,16.2,19.2,1.4,2.2,28.7,106-210,0.505,7.5,43-124,0.347,2022
40,Jr,6-3,Marcus Foster (17),Creighton,Kansas St.,78.3,3.2,1.7,101.7,28.1,52.1,54,1,8.9,14.4,14.1,0.2,1,20.2,165-310,0.532,10.8,71-211,0.336,2017
41,Sr,6-4,Aljami Durham (22),Providence,Indiana,79.1,3,1.3,101.5,24,40.2,51.1,1.2,9.7,20.2,17.8,1,1,62.8,87-203,0.429,6.5,27-114,0.237,2022
42,Sr,6-8,Pauly Paulicap (21),DePaul,Manhattan,54.9,1.4,1.3,102,17.5,55.4,56.7,12.7,16.6,1,21.5,6.5,1.3,39.6,56-101,0.554,0,0-0,0,2021
43,Jr,6-2,Rasheem Dunn (20),St. John's,St. Francis NY,65.3,2.2,1.3,97.2,23.3,40.5,47.6,2,11.6,22.1,15.8,0,1.9,44.7,96-224,0.429,4.9,17-76,0.224,2020
44,Sr,6-3,Terrell Allen (20),Georgetown,UCF,74.8,2.2,1.2,103.3,18.4,49.6,54.3,1.5,7.1,24.6,22.9,0.1,2.3,36,84-182,0.462,3.3,23-57,0.404,2020
45,Sr,6-2,Madison Jones (17),Seton Hall,Wake Forest,72.9,0.3,1.2,94.6,13.9,45.2,49.1,1.7,7.9,18.4,27.4,0.4,3.5,35.7,55-123,0.447,2.6,14-45,0.311,2017
46,Sr,6-7,Kaiden Rice (22),Georgetown,The Citadel,61.5,2.5,1,110.5,18.3,51.6,52.8,2,9,3,8.1,0.3,0.7,6.6,19-54,0.352,18.4,92-250,0.368,2022
47,So,6-7,Jordan Tucker (19),Butler,Duke,40,1.4,0.9,97.6,23.5,48.3,52,1.8,21.5,6.6,15.3,0.5,1.2,22.9,22-66,0.333,15.1,50-135,0.37,2019
48,Jr,6-4,Quincy McKnight (19),Seton Hall,Sacred Heart,69.9,1.4,0.9,96.6,21.3,48.6,51.6,1.7,9.1,26.6,23.9,1,3.3,39.8,99-192,0.516,4,18-67,0.269,2019
49,Sr,6-3,Nick Rutherford (20),St. John's,Monmouth,56.6,0.3,0.9,88.6,16.9,39.2,44,1.1,9.9,23.5,22.9,1.6,4.3,34.3,54-135,0.4,2.8,9-37,0.243,2020
50,Sr,6-2,Stef Smith (22),St. John's,Vermont,41.4,1.2,0.6,102.8,19.2,46.4,49.3,2.5,9,17.8,14.2,0.6,1.9,22.2,43-89,0.483,9.2,27-91,0.297,2022
51,Sr,6-3,Jair Bolden (21),Butler,South Carolina,81.4,1.6,0.6,96.7,17.8,46.2,48.4,1.4,12.3,6.1,10.1,0.7,1.3,16.3,28-79,0.354,12.9,59-173,0.341,2021
52,Sr,6-2,Jamir Harris (22),Seton Hall,American,56.1,1.2,0.3,101.4,17.1,48.6,50.5,1.4,4,7.9,15.6,0.1,1.3,13.6,24-63,0.381,12.5,53-150,0.353,2022
53,Sr,6-4,Joe Cremo (19),Villanova,Albany,41,0.6,0.3,101.6,14.9,49.3,50.7,2,10.7,14,19.2,0.4,1.6,14.2,15-34,0.441,10.2,34-100,0.34,2019
54,Sr,6-4,Kyle Castlin (19),Xavier,Columbia,54.1,0.7,0.2,106,11.3,46.7,51.8,4.8,13,6,16.5,0.8,1,41.7,32-66,0.485,4.2,16-54,0.296,2019
55,Fr,6-3,Tyler Kolek (22),Marquette,George Mason,72.8,1.1,-0.1,92.3,19.7,40,43.7,1.8,11.2,33.9,24.6,0.2,2.6,18.7,36-97,0.371,7.7,36-128,0.281,2022
56,Jr,6-4,Koby McEwen (20),Marquette,Utah St.,67.9,1.6,-0.2,94.4,21.3,41.2,50.9,1.1,17.1,21.2,26,0.2,1.2,52.5,37-97,0.381,8.1,35-120,0.292,2020
57,Jr,6-4,Caleb Daniels (21),Villanova,Tulane,64.3,2,-0.3,101.3,20.1,52.9,56.1,2.2,7.9,8.8,19.3,0.2,0.9,25.1,35-77,0.455,10.8,44-114,0.386,2021
58,Sr,6-4,Montez Mathis (22),St. John's,Rutgers,60.7,1.2,-0.6,98.4,18.4,44.9,47.3,4.5,10.2,12.6,14.2,0.8,2.3,28.2,89-192,0.464,3.6,14-53,0.264,2022
59,Jr,6-5,Mustapha Heron (19),St. John's,Auburn,71.4,2.1,-0.7,99.8,23.7,50.9,55.2,3.4,13.3,7.9,16.7,0.7,1.9,37.4,105-230,0.457,6.7,48-118,0.407,2019
60,Sr,6-8,Brandon Johnson (22),DePaul,Minnesota,83.5,1.7,-0.9,100.4,17.4,45.4,49.9,6.1,15.8,4.5,15.1,0.7,1.1,51.9,83-180,0.461,4.5,24-82,0.293,2022
61,So,5-10,Jared Bynum (21),Providence,Saint Joseph's,43.1,0.3,-1.5,88.8,17.3,33.5,38.2,1,7.2,25,15.7,0.2,2.2,30.4,30-70,0.429,5.4,5-42,0.119,2021
62,Sr,6-3,Ray Salnave (21),DePaul,Monmouth,57.8,0,-2.1,82.3,18.5,37.5,42.3,2.6,11.2,10.5,22.8,0.3,2.3,21.1,27-79,0.342,6.3,14-49,0.286,2021
63,So,6-0,Jalen Terry (22),DePaul,Oregon,68,1.1,-2.3,96.7,16.2,47.3,50.5,1.1,9.9,17.6,24,0.2,0.9,18.3,43-94,0.457,7.2,35-108,0.324,2022
64,Jr,6-5,Takal Molson (21),Seton Hall,Canisius,48,0.3,-2.4,86.3,19.2,38.5,44.4,5.4,11.9,8.4,20.9,0.6,1.6,42.2,40-95,0.421,4.5,8-40,0.2,2021
65,So,6-7,Darious Hall (20),DePaul,Arkansas,44.9,-0.2,-2.5,81.2,17.5,37.9,43.1,6.8,18.7,6.4,23.9,1.1,1.9,64.2,44-106,0.415,1.4,1-14,0.071,2020