"Team","Conference","ID","Season"
"Texas A&M Corpus Chris","Southland",527481,"2021-22"
"Abilene Christian","WAC",527486,"2021-22"
"Air Force","MWC",527430,"2021-22"
"Akron","MAC",527487,"2021-22"
"Alabama","SEC",527490,"2021-22"
"Alabama A&M","SWAC",527488,"2021-22"
"Alabama St.","SWAC",527489,"2021-22"
"Albany","America East",527492,"2021-22"
"Alcorn","SWAC",527493,"2021-22"
"American","Patriot",527494,"2021-22"
"Appalachian St.","Sun Belt",527495,"2021-22"
"Arizona","Pac-12",527497,"2021-22"
"Arizona St.","Pac-12",527496,"2021-22"
"Ark.-Pine Bluff","SWAC",527472,"2021-22"
"Arkansas","SEC",527499,"2021-22"
"Arkansas St.","Sun Belt",527498,"2021-22"
"Army West Point","Patriot",527431,"2021-22"
"Auburn","SEC",527501,"2021-22"
"Austin Peay","OVC",527502,"2021-22"
"Ball St.","MAC",527503,"2021-22"
"Baylor","Big 12",527505,"2021-22"
"Bellarmine",NA,527738,"2021-22"
"Belmont","OVC",527479,"2021-22"
"Bethune-Cookman","SWAC",527506,"2021-22"
"Binghamton","America East",527507,"2021-22"
"Boise St.","MWC",527508,"2021-22"
"Boston College","ACC",527509,"2021-22"
"Boston U.","Patriot",527510,"2021-22"
"Bowling Green","MAC",527511,"2021-22"
"Bradley","MVC",527512,"2021-22"
"Brown","Ivy League",527514,"2021-22"
"Bryant","NEC",527515,"2021-22"
"Bucknell","Patriot",527516,"2021-22"
"Buffalo","MAC",527517,"2021-22"
"Butler","Big East",527518,"2021-22"
"BYU","WCC",527513,"2021-22"
"Cal Poly","Big West",527519,"2021-22"
"Cal St. Fullerton","Big West",527522,"2021-22"
"California","Pac-12",527527,"2021-22"
"California Baptist",NA,527736,"2021-22"
"Campbell","Big South",527532,"2021-22"
"Canisius","MAAC",527533,"2021-22"
"Central Ark.","ASUN",527464,"2021-22"
"Central Conn. St.","NEC",527534,"2021-22"
"Central Mich.","MAC",527536,"2021-22"
"Charleston Southern","Big South",527504,"2021-22"
"Charlotte","C-USA",527661,"2021-22"
"Chattanooga","SoCon",527414,"2021-22"
"Chicago St.","WAC",527537,"2021-22"
"Cincinnati","AAC",527538,"2021-22"
"Clemson","ACC",527540,"2021-22"
"Cleveland St.","Horizon",527541,"2021-22"
"Coastal Carolina","Sun Belt",527542,"2021-22"
"College of Charleston","CAA",527465,"2021-22"
"Colgate","Patriot",527543,"2021-22"
"Colorado","Pac-12",527545,"2021-22"
"Colorado St.","MWC",527544,"2021-22"
"Columbia","Ivy League",527546,"2021-22"
"Coppin St.","MEAC",527548,"2021-22"
"Cornell","Ivy League",527549,"2021-22"
"Creighton","Big East",527550,"2021-22"
"Cal St. Bakersfield","WAC",527520,"2021-22"
"Cal St. Northridge","Big West",527524,"2021-22"
"Dartmouth","Ivy League",527551,"2021-22"
"Davidson","Atlantic 10",527552,"2021-22"
"Dayton","Atlantic 10",527553,"2021-22"
"Delaware","CAA",527556,"2021-22"
"Delaware St.","MEAC",527555,"2021-22"
"Denver","Summit League",527557,"2021-22"
"DePaul","Big East",527554,"2021-22"
"Detroit Mercy","Horizon",527558,"2021-22"
"Dixie St.",NA,527740,"2021-22"
"Drake","MVC",527559,"2021-22"
"Drexel","CAA",527560,"2021-22"
"Duke","ACC",527561,"2021-22"
"Duquesne","Atlantic 10",527562,"2021-22"
"East Carolina","AAC",527563,"2021-22"
"Eastern Ill.","OVC",527565,"2021-22"
"Eastern Kentucky","ASUN",527566,"2021-22"
"Eastern Mich.","MAC",527567,"2021-22"
"Eastern Washington","Big Sky",527568,"2021-22"
"Elon","CAA",527466,"2021-22"
"East Tennessee St.","SoCon",527564,"2021-22"
"Evansville","MVC",527569,"2021-22"
"Fairfield","MAAC",527570,"2021-22"
"Fairleigh Dickinson","NEC",527571,"2021-22"
"Florida Gulf Coast","ASUN",527483,"2021-22"
"FIU","C-USA",527574,"2021-22"
"Florida Atlantic","C-USA",527573,"2021-22"
"Florida","SEC",527576,"2021-22"
"Florida A&M","SWAC",527572,"2021-22"
"Florida St.","ACC",527575,"2021-22"
"Fordham","Atlantic 10",527577,"2021-22"
"Fresno St.","MWC",527521,"2021-22"
"Furman","SoCon",527578,"2021-22"
"Ga. Southern","Sun Belt",527582,"2021-22"
"Gardner Webb","Big South",527467,"2021-22"
"George Mason","Atlantic 10",527579,"2021-22"
"George Washington","Atlantic 10",527580,"2021-22"
"Georgetown","Big East",527581,"2021-22"
"Georgia","SEC",527585,"2021-22"
"Georgia St.","Sun Belt",527583,"2021-22"
"Georgia Tech","ACC",527584,"2021-22"
"Gonzaga","WCC",527586,"2021-22"
"Grambling","SWAC",527587,"2021-22"
"Grand Canyon","WAC",527468,"2021-22"
"Green Bay","Horizon",527456,"2021-22"
"Hampton","Big South",527588,"2021-22"
"Hartford","America East",527589,"2021-22"
"Harvard","Ivy League",527590,"2021-22"
"Hawaii","Big West",527591,"2021-22"
"High Point","Big South",527480,"2021-22"
"Hofstra","CAA",527592,"2021-22"
"Holy Cross","Patriot",527593,"2021-22"
"Houston","AAC",527595,"2021-22"
"Houston Baptist","Southland",527594,"2021-22"
"Howard","MEAC",527596,"2021-22"
"Idaho","Big Sky",527598,"2021-22"
"Idaho St.","Big Sky",527597,"2021-22"
"Illinois","Big Ten",527600,"2021-22"
"Illinois St.","MVC",527599,"2021-22"
"Incarnate Word","Southland",527476,"2021-22"
"Indiana","Big Ten",527603,"2021-22"
"Indiana St.","MVC",527602,"2021-22"
"Iona","MAAC",527605,"2021-22"
"Iowa","Big Ten",527607,"2021-22"
"Iowa St.","Big 12",527606,"2021-22"
"IUPUI","Horizon",527473,"2021-22"
"Jackson St.","SWAC",527608,"2021-22"
"Jacksonville","ASUN",527610,"2021-22"
"Jacksonville St.","ASUN",527609,"2021-22"
"James Madison","CAA",527611,"2021-22"
"Kansas","Big 12",527613,"2021-22"
"UMKC","WAC",527474,"2021-22"
"Kansas St.","Big 12",527612,"2021-22"
"Kennesaw St.","ASUN",527469,"2021-22"
"Kent St.","MAC",527614,"2021-22"
"Kentucky","SEC",527615,"2021-22"
"La Salle","Atlantic 10",527616,"2021-22"
"La.-Monroe","Sun Belt",527682,"2021-22"
"Lafayette","Patriot",527617,"2021-22"
"Lamar University","WAC",527618,"2021-22"
"Lehigh","Patriot",527619,"2021-22"
"Liberty","ASUN",527620,"2021-22"
"Lipscomb","ASUN",527482,"2021-22"
"Little Rock","Sun Belt",527500,"2021-22"
"LIU","NEC",527621,"2021-22"
"Long Beach St.","Big West",527523,"2021-22"
"Longwood","Big South",527622,"2021-22"
"Louisiana","Sun Belt",527405,"2021-22"
"Louisiana Tech","C-USA",527624,"2021-22"
"Louisville","ACC",527625,"2021-22"
"Loyola Chicago","MVC",527629,"2021-22"
"Loyola Maryland","Patriot",527627,"2021-22"
"Loyola Marymount","WCC",527628,"2021-22"
"LSU","SEC",527623,"2021-22"
"Maine","America East",527630,"2021-22"
"Manhattan","MAAC",527631,"2021-22"
"Marist","MAAC",527632,"2021-22"
"Marquette","Big East",527633,"2021-22"
"Marshall","C-USA",527634,"2021-22"
"Maryland","Big Ten",527636,"2021-22"
"Massachusetts","Atlantic 10",527638,"2021-22"
"McNeese","Southland",527639,"2021-22"
"Memphis","AAC",527640,"2021-22"
"Mercer","SoCon",527641,"2021-22"
"Merrimack",NA,527737,"2021-22"
"Miami FL","ACC",527643,"2021-22"
"Miami (OH)","MAC",527642,"2021-22"
"Michigan","Big Ten",527645,"2021-22"
"Michigan St.","Big Ten",527644,"2021-22"
"Middle Tenn.","C-USA",527646,"2021-22"
"Milwaukee","Horizon",527458,"2021-22"
"Minnesota","Big Ten",527647,"2021-22"
"Mississippi St.","SEC",527648,"2021-22"
"Mississippi Val.","SWAC",527649,"2021-22"
"Missouri","SEC",527651,"2021-22"
"Missouri St.","MVC",527403,"2021-22"
"Monmouth","MAAC",527652,"2021-22"
"Montana","Big Sky",527654,"2021-22"
"Montana St.","Big Sky",527653,"2021-22"
"Morehead St.","OVC",527655,"2021-22"
"Morgan St.","MEAC",527656,"2021-22"
"Mount St. Mary's","NEC",527657,"2021-22"
"Murray St.","OVC",527658,"2021-22"
"North Carolina A&T","Big South",527676,"2021-22"
"N.C. Central","MEAC",527677,"2021-22"
"Navy","Patriot",527432,"2021-22"
"North Carolina St.","ACC",527678,"2021-22"
"Nebraska","Big Ten",527664,"2021-22"
"Nevada","MWC",527667,"2021-22"
"New Hampshire","America East",527668,"2021-22"
"New Mexico","MWC",527671,"2021-22"
"New Mexico St.","WAC",527670,"2021-22"
"New Orleans","Southland",527672,"2021-22"
"Niagara","MAAC",527673,"2021-22"
"Nicholls St.","Southland",527674,"2021-22"
"NJIT","ASUN",527669,"2021-22"
"Norfolk St.","MEAC",527675,"2021-22"
"North Ala.",NA,527485,"2021-22"
"North Carolina","ACC",527660,"2021-22"
"North Dakota","Summit League",527680,"2021-22"
"North Dakota St.","Summit League",527679,"2021-22"
"North Florida","ASUN",527475,"2021-22"
"North Texas","C-USA",527681,"2021-22"
"Northeastern","CAA",527683,"2021-22"
"Northern Arizona","Big Sky",527684,"2021-22"
"Northern Colo.","Big Sky",527685,"2021-22"
"Northern Illinois","MAC",527686,"2021-22"
"Northern Kentucky","Horizon",527688,"2021-22"
"Northwestern","Big Ten",527690,"2021-22"
"Northwestern St.","Southland",527689,"2021-22"
"Notre Dame","ACC",527691,"2021-22"
"Oakland","Horizon",527692,"2021-22"
"Ohio","MAC",527694,"2021-22"
"Ohio St.","Big Ten",527693,"2021-22"
"Oklahoma","Big 12",527696,"2021-22"
"Oklahoma St.","Big 12",527695,"2021-22"
"Old Dominion","C-USA",527697,"2021-22"
"Mississippi","SEC",527650,"2021-22"
"Omaha","Summit League",527665,"2021-22"
"Oral Roberts","Summit League",527698,"2021-22"
"Oregon","Pac-12",527700,"2021-22"
"Oregon St.","Pac-12",527699,"2021-22"
"Pacific","WCC",527701,"2021-22"
"Penn","Ivy League",527704,"2021-22"
"Penn St.","Big Ten",527703,"2021-22"
"Pepperdine","WCC",527705,"2021-22"
"Pittsburgh","ACC",527706,"2021-22"
"Portland","WCC",527708,"2021-22"
"Portland St.","Big Sky",527707,"2021-22"
"Prairie View","SWAC",527709,"2021-22"
"Presbyterian","Big South",527470,"2021-22"
"Princeton","Ivy League",527710,"2021-22"
"Providence","Big East",527711,"2021-22"
"Purdue","Big Ten",527712,"2021-22"
"Purdue Fort Wayne","Summit League",527604,"2021-22"
"Quinnipiac","MAAC",527713,"2021-22"
"Radford","Big South",527714,"2021-22"
"Rhode Island","Atlantic 10",527715,"2021-22"
"Rice","C-USA",527716,"2021-22"
"Richmond","Atlantic 10",527717,"2021-22"
"Rider","MAAC",527718,"2021-22"
"Robert Morris","NEC",527719,"2021-22"
"Rutgers","Big Ten",527720,"2021-22"
"Sacramento St.","Big Sky",527525,"2021-22"
"Sacred Heart","NEC",527721,"2021-22"
"St. Francis PA","NEC",527724,"2021-22"
"Saint Joseph's","Atlantic 10",527726,"2021-22"
"Saint Louis","Atlantic 10",527727,"2021-22"
"Saint Mary's (CA)","WCC",527728,"2021-22"
"Saint Peter's","MAAC",527729,"2021-22"
"Sam Houston St.","WAC",527730,"2021-22"
"Samford","SoCon",527731,"2021-22"
"San Diego","WCC",527733,"2021-22"
"San Diego St.","MWC",527732,"2021-22"
"San Francisco","WCC",527734,"2021-22"
"San Jose St.","MWC",527735,"2021-22"
"Santa Clara","WCC",527385,"2021-22"
"Seattle","WAC",527471,"2021-22"
"Seton Hall","Big East",527386,"2021-22"
"Stephen F. Austin","WAC",527407,"2021-22"
"Siena","MAAC",527387,"2021-22"
"SIUE","OVC",527398,"2021-22"
"SMU","AAC",527399,"2021-22"
"South Alabama","Sun Belt",527388,"2021-22"
"South Carolina","SEC",527390,"2021-22"
"South Carolina St.","MEAC",527389,"2021-22"
"South Dakota","Summit League",527392,"2021-22"
"South Dakota St.","Summit League",527391,"2021-22"
"South Florida","AAC",527393,"2021-22"
"Southeast Mo. St.","OVC",527394,"2021-22"
"Southeastern La.","Southland",527395,"2021-22"
"USC","Pac-12",527396,"2021-22"
"Southern Ill.","MVC",527397,"2021-22"
"Southern Miss.","C-USA",527400,"2021-22"
"Southern U.","SWAC",527401,"2021-22"
"Southern Utah","Big Sky",527402,"2021-22"
"St. Bonaventure","Atlantic 10",527722,"2021-22"
"St. Francis NY","NEC",527723,"2021-22"
"St. John's","Big East",527725,"2021-22"
"St. Thomas (MN)","Summit League",528150,"2021-22"
"Stanford","Pac-12",527406,"2021-22"
"Stetson","ASUN",527408,"2021-22"
"Stony Brook","America East",527409,"2021-22"
"Syracuse","ACC",527410,"2021-22"
"Tarleton St.",NA,527741,"2021-22"
"TCU","Big 12",527418,"2021-22"
"Temple","AAC",527411,"2021-22"
"Tennessee","SEC",527415,"2021-22"
"Tennessee St.","OVC",527412,"2021-22"
"Tennessee Tech","OVC",527413,"2021-22"
"Texas","Big 12",527422,"2021-22"
"Texas A&M","SEC",527417,"2021-22"
"Texas Southern","SWAC",527419,"2021-22"
"Texas St.","Sun Belt",527404,"2021-22"
"Texas Tech","Big 12",527420,"2021-22"
"The Citadel","SoCon",527539,"2021-22"
"Toledo","MAC",527425,"2021-22"
"Towson","CAA",527426,"2021-22"
"Troy","Sun Belt",527427,"2021-22"
"Tulane","AAC",527428,"2021-22"
"Tulsa","AAC",527429,"2021-22"
"UAB","C-USA",527491,"2021-22"
"UC Davis","Big West",527528,"2021-22"
"UC Irvine","Big West",527529,"2021-22"
"UC Riverside","Big West",527531,"2021-22"
"UC San Diego",NA,527739,"2021-22"
"UC Santa Barbara","Big West",527526,"2021-22"
"UCF","AAC",527535,"2021-22"
"UCLA","Pac-12",527530,"2021-22"
"UConn","AAC",527547,"2021-22"
"Illinois Chicago","Horizon",527601,"2021-22"
"UMass Lowell","America East",527626,"2021-22"
"UMBC","America East",527635,"2021-22"
"UMES","MEAC",527637,"2021-22"
"UNC Asheville","Big South",527659,"2021-22"
"UNC Greensboro","SoCon",527662,"2021-22"
"UNC Wilmington","CAA",527663,"2021-22"
"UNI","MVC",527687,"2021-22"
"UNLV","MWC",527666,"2021-22"
"USC Upstate","Big South",527478,"2021-22"
"UT Arlington","Sun Belt",527421,"2021-22"
"Tennessee Martin","OVC",527416,"2021-22"
"Utah","Pac-12",527434,"2021-22"
"Utah St.","MWC",527433,"2021-22"
"Utah Valley","WAC",527484,"2021-22"
"UTEP","C-USA",527423,"2021-22"
"UTRGV","WAC",527702,"2021-22"
"UTSA","C-USA",527424,"2021-22"
"Valparaiso","MVC",527435,"2021-22"
"Vanderbilt","SEC",527436,"2021-22"
"VCU","Atlantic 10",527439,"2021-22"
"Vermont","America East",527437,"2021-22"
"Villanova","Big East",527438,"2021-22"
"Virginia","ACC",527442,"2021-22"
"Virginia Tech","ACC",527441,"2021-22"
"VMI","SoCon",527440,"2021-22"
"Wagner","NEC",527443,"2021-22"
"Wake Forest","ACC",527444,"2021-22"
"Washington","Pac-12",527446,"2021-22"
"Washington St.","Pac-12",527445,"2021-22"
"Weber St.","Big Sky",527447,"2021-22"
"West Virginia","Big 12",527448,"2021-22"
"Western Carolina","SoCon",527449,"2021-22"
"Western Illinois","Summit League",527450,"2021-22"
"Western Kentucky","C-USA",527451,"2021-22"
"Western Michigan","MAC",527452,"2021-22"
"Wichita St.","AAC",527453,"2021-22"
"William & Mary","CAA",527454,"2021-22"
"Winthrop","Big South",527455,"2021-22"
"Wisconsin","Big Ten",527457,"2021-22"
"Wofford","SoCon",527477,"2021-22"
"Wright St.","Horizon",527459,"2021-22"
"Wyoming","MWC",527460,"2021-22"
"Xavier","Big East",527461,"2021-22"
"Yale","Ivy League",527462,"2021-22"
"Youngstown St.","Horizon",527463,"2021-22"
