Conference,2016,2017,2018,2019,2020,2021,2022,Average
Big 12,17.51,19.81,16.75,17.68,15.73,16.55,18.53,17.51
Big 10,12.89,13.66,13.76,16.73,17.49,18.68,13.5,15.24
ACC,16.70,16.02,15.71,15.33,11.45,13.22,10.65,14.15
Big East,13.94,14.54,15.33,10.46,15.49,13.2,12.54,13.64
SEC,11.21,12.91,14.39,14.64,10.98,14.32,14.29,13.25
Pac 12,13.00,10.12,9.02,7.48,11.35,16.21,9.74,10.99
AAC,8.15,5.90,5.59,8.57,8.62,8.02,6.99,7.41
MWC,3.32,3.41,5.34,0.85,4.99,2.72,7.99,4.09
Atlantic 10,5.48,3.95,1.28,0.56,5.01,6.01,4.56,3.84
WCC,-0.04,0.81,0.39,5.06,5.29,7.78,5.39,3.53
MVC,1.59,2.08,3.96,-1.01,2.46,2.99,3.98,2.29
MAC,0.42,-0.41,-1.48,3.88,0.22,1.22,-5.45,-0.23
C-USA,-4.14,-3.79,0.63,-1.04,-0.12,1.01,-0.02,-1.07
Southern,-3.79,-0.61,-4.59,0.23,-0.2,0.99,0.31,-1.09
CAA,3.16,0.45,-2.31,-5.04,-3.35,-5.06,-0.83,-1.85
Sun Belt,-1.89,-1.68,-2.34,-0.76,-0.14,-6.02,-2.21,-2.15
Ivy,-1.28,-2.99,-4.58,0.47,-0.95,-4.66,-2.6,-2.37
Summit,-0.39,-2.14,-1.90,-5.49,-3.53,-4.49,-6.34,-3.47
Big West,0.03,-9.04,-3.48,-5.93,-5.07,-2.36,-3.46,-4.19
WAC,-7.50,-2.89,-3.13,-1.11,-6.64,-7.14,-1.49,-4.27
Horizon,-1.07,-3.22,-5.62,-3.23,-6.46,-5.79,-8.71,-4.87
MAAC,-4.93,-3.08,-4.26,-9.83,-6.3,-8.4,-2.2,-5.57
Big Sky,-7.90,-7.59,-2.61,-8.74,-2.26,-4.89,-7.11,-5.87
Ohio Valley,-4.98,-4.64,-4.94,-5.98,-9.67,-6.98,-6.46,-6.24
Patriot,-8.24,-4.79,-8.16,-4.84,-6.55,-7.31,-10.5,-7.20
ASUN,-7.53,-6.78,-9.84,-4.43,-8.16,-8.26,-5.8,-7.26
Big South,-6.77,-8.55,-6.17,-3.68,-10.82,-9.14,-6.56,-7.38
American East,-9.81,-6.63,-5.85,-8.48,-7.69,-7.56,-9.1,-7.87
Southland,-11.85,-8.34,-8.53,-10.37,-9.41,-12.16,-11.65,-10.33
Northeast,-12.90,-10.49,-9.70,-10.45,-8.63,-10.92,-10.78,-10.55
SWAC,-13.56,-17.66,-17.05,-14.89,-14.37,-16.82,-12.03,-15.20
MEAC,-15.26,-17.47,-17.24,-16.46,-15.47,-15.61,-10.92,-15.49